Pod_Name,Node_Name,CPU_Requests (millicores),Memory_Requests (MiB),CPU_Limits (millicores),Memory_Limits (MiB),Container_Count,Resource_Utilization,Allocation_Strategy,Node_Labels
pod34,node1,7,990,9,1035,3,0.6603670871327133,Default,label2
pod35,node5,7,716,11,450,3,0.28581415595853144,Custom,label3
pod36,node5,8,771,10,1245,4,0.0823580317605841,Custom,label2
pod37,node4,1,186,8,1244,4,0.975895944206883,Custom,label2
pod38,node2,10,292,9,434,3,0.9795112075172503,Custom,label3
pod39,node2,1,451,15,1236,4,0.5561712596063288,Default,label2
pod40,node5,10,576,15,1364,1,0.8259055914265406,Default,label2
pod41,node5,5,170,8,843,4,0.049098042047247104,Custom,label1
pod42,node4,10,376,5,533,4,0.6534628583335181,Custom,label1
pod43,node4,3,123,12,1879,1,0.39774548248718455,Custom,label2
pod44,node2,7,866,13,1272,3,0.7866023460977979,Custom,label1
pod45,node2,7,423,8,1494,3,0.6745773275028818,Custom,label3
pod46,node3,8,834,10,1674,2,0.5705056910087759,Default,label3
pod47,node5,9,757,8,1656,3,0.7951357357918488,Default,label3
pod48,node1,10,966,5,752,5,0.9929079852043271,Default,label3
pod49,node1,9,927,5,1572,4,0.28148319552840184,Default,label3
pod50,node1,2,350,11,912,4,0.24328946221754544,Custom,label3
pod51,node5,9,665,6,963,2,0.23378762525734265,Custom,label2
pod52,node1,2,694,12,1454,3,0.13142374228995224,Custom,label3
pod53,node4,4,857,6,331,3,0.2318860708087156,Default,label2
pod54,node5,3,545,9,901,4,0.2666210738452387,Default,label1
pod55,node5,9,834,7,1596,2,0.3777465924823601,Default,label3
pod56,node2,1,686,13,963,5,0.03158863247108279,Default,label1
pod57,node5,7,377,7,1410,4,0.9969081646164841,Custom,label2
pod58,node4,3,967,15,363,4,0.9980928284237593,Default,label1
pod59,node4,1,199,12,399,3,0.36255277584862566,Custom,label1
pod60,node1,10,972,11,816,5,0.6364353943092517,Default,label3
pod61,node2,1,672,14,1306,4,0.9425896539059041,Default,label2
pod62,node2,3,795,8,680,5,0.7588095402649574,Default,label2
pod63,node5,5,913,7,1187,3,0.9014359924534041,Custom,label1
pod64,node2,8,260,7,848,4,0.6367348987895984,Default,label2
pod65,node2,5,463,14,411,4,0.7068580951827507,Custom,label2
pod66,node4,8,698,10,1348,5,0.7111946469662325,Custom,label2
pod67,node4,7,724,6,1882,3,0.529298184242665,Default,label2
pod68,node4,1,385,6,368,4,0.17212431632450798,Custom,label2
pod69,node3,6,921,10,1299,2,0.9282143658259453,Default,label2
pod70,node3,9,326,15,362,2,0.014964116932671079,Custom,label1
pod71,node4,6,250,8,626,3,0.2984792519426335,Default,label3
pod72,node2,4,723,9,220,1,0.7045418084561061,Default,label3
pod73,node3,5,830,7,767,4,0.8095847169476741,Custom,label2
pod74,node5,8,105,11,346,2,0.6728207276884955,Custom,label1
pod75,node4,6,859,6,728,2,0.9455079707784384,Custom,label3
pod76,node2,9,314,5,716,4,0.13817723594359077,Default,label2
pod77,node2,9,826,14,805,3,0.23342721705386904,Default,label2
pod78,node2,3,324,11,203,2,0.3995904939865762,Default,label1
pod79,node1,8,234,13,908,5,0.9475165230710831,Default,label2
pod80,node2,1,647,7,979,1,0.07503853575234976,Default,label2
pod81,node4,6,500,11,1988,1,0.7015862638350616,Default,label2
pod82,node3,4,411,12,579,5,0.26906088332289935,Default,label1
pod83,node5,1,226,11,1490,5,0.1872165850356815,Default,label2
pod84,node5,9,116,10,1250,2,0.4686479842430086,Custom,label3
pod85,node1,8,807,9,1297,2,0.43079236452306346,Default,label3
pod86,node4,5,337,6,764,5,0.1295941789079107,Default,label3
pod87,node2,5,806,7,1057,1,0.018498858685478625,Default,label2
pod88,node2,8,548,7,1146,1,0.4353537586507801,Custom,label3
pod89,node2,2,939,14,233,1,0.11316685112146829,Custom,label3
pod90,node3,2,924,15,364,5,0.514181401022325,Default,label3
pod91,node3,5,106,9,425,3,0.8772730467574611,Default,label1
pod92,node3,10,707,12,1849,5,0.28757450691090747,Custom,label2
pod93,node1,8,996,9,782,1,0.32275943999180645,Custom,label1
pod94,node4,8,994,15,710,2,0.8429641669235305,Default,label3
pod95,node4,2,281,5,273,1,0.055080862440803124,Custom,label1
pod96,node5,9,938,7,517,4,0.553894924910501,Default,label2
pod97,node2,4,581,7,1251,4,0.27999571549770663,Default,label3
pod98,node4,4,438,7,1554,3,0.117920551741856,Custom,label3
pod99,node1,8,828,11,1017,4,0.6834110250736499,Default,label3
pod100,node3,4,514,8,1370,3,0.12136711462311767,Custom,label3
pod101,node3,9,341,7,1833,5,0.27838351436591124,Default,label1
pod102,node2,10,366,5,419,3,0.08072913107437452,Default,label2
pod103,node5,5,748,15,1843,2,0.4756024643527704,Default,label1
pod104,node1,1,389,11,1587,2,0.8411352384947355,Default,label2
pod105,node1,7,139,11,1485,3,0.31515455331649767,Default,label2
pod106,node2,1,860,8,414,5,0.22409123741625325,Default,label2
pod107,node4,5,895,12,1056,2,0.3253635083581583,Custom,label3
pod108,node1,9,981,9,204,2,0.3089086606945157,Default,label2
pod109,node5,3,954,10,1091,2,0.4470306919997432,Default,label1
pod110,node4,8,141,11,590,5,0.7953689729383191,Default,label2
pod111,node5,8,226,12,1796,1,0.5221940778993793,Custom,label2
pod112,node5,7,212,14,727,1,0.3542462475816217,Custom,label1
pod113,node5,9,174,12,733,3,0.9835219479570193,Default,label2
pod114,node3,7,334,13,765,2,0.7315627577028516,Default,label1
pod115,node5,1,384,15,979,4,0.8240304888761586,Custom,label2
pod116,node1,7,519,7,644,4,0.2501237814881827,Default,label1
pod117,node1,5,108,15,468,5,0.9672216839852387,Custom,label3
pod118,node3,2,395,10,1363,2,0.40355948142414944,Default,label2
pod119,node3,1,640,6,578,1,0.907710352155983,Custom,label3
pod120,node2,3,231,10,450,4,0.8249888764668647,Default,label1
pod121,node1,2,133,8,1949,2,0.8577236403908306,Custom,label3
pod122,node1,9,185,5,1289,2,0.28917001675021414,Custom,label1
pod123,node4,4,201,12,840,1,0.24445794080587424,Default,label3
pod124,node1,1,779,8,1253,4,0.38648102830206765,Custom,label1
pod125,node4,4,659,10,840,4,0.4808981728357501,Default,label1
pod126,node3,3,197,12,1910,4,0.2932706434517991,Custom,label3
pod127,node1,4,159,11,1899,1,0.6055550460785042,Default,label2
pod128,node5,5,467,5,355,5,0.9700709652551814,Default,label1
pod129,node1,3,276,14,1486,1,0.09155233914795302,Default,label1
pod130,node4,7,985,6,549,4,0.7704955092272793,Default,label3
pod131,node1,6,999,13,1054,1,0.5137450934450758,Default,label1
pod132,node3,10,322,6,1556,1,0.15759462305555705,Custom,label2
pod133,node2,2,718,9,1773,3,0.28191253008388273,Default,label2
pod134,node3,4,238,13,311,2,0.8448450821993596,Custom,label1
pod135,node5,4,449,11,649,5,0.5153542772840322,Default,label2
pod136,node2,1,714,13,1043,4,0.05081246391192007,Custom,label2
pod137,node3,1,753,14,376,5,0.3840557055206587,Default,label3
pod138,node1,7,129,15,332,1,0.17862845043124953,Custom,label3
pod139,node5,7,591,7,897,4,0.40109324958434744,Custom,label1
pod140,node4,8,773,15,729,2,0.15480860478940295,Custom,label2
pod141,node3,3,835,6,1014,4,0.31238257053960183,Custom,label2
pod142,node4,3,566,10,1913,3,0.3336140627070424,Default,label1
pod143,node4,9,974,7,1612,3,0.7689686220925143,Custom,label2
pod144,node2,4,218,15,594,1,0.8890385673875651,Custom,label2
pod145,node5,7,738,5,424,2,0.3375561475565574,Default,label3
pod146,node4,10,965,8,1593,2,0.7706421763002795,Default,label1
pod147,node3,1,572,13,867,4,0.07124720315013466,Custom,label3
pod148,node3,5,462,5,1768,5,0.33777794640708825,Custom,label2
pod149,node2,2,707,5,1017,3,0.44235920197388945,Custom,label3
pod150,node1,8,743,7,828,3,0.5523612591027862,Default,label1
pod151,node3,4,697,7,460,4,0.8009193253365824,Default,label3
pod152,node5,1,755,14,774,4,0.17656069238739547,Default,label1
pod153,node5,2,457,5,333,2,0.21527089584221648,Default,label2
pod154,node5,6,813,5,1079,4,0.09700558501909406,Default,label3
pod155,node5,10,697,11,1219,3,0.6643525789219943,Default,label3
pod156,node1,9,439,13,863,4,0.5756820812890197,Custom,label3
pod157,node1,3,533,9,203,1,0.24303261900693918,Custom,label1
pod158,node3,5,500,7,1227,3,0.6350279374586761,Custom,label1
pod159,node3,5,600,5,681,5,0.2815143996446351,Custom,label2
pod160,node5,6,117,10,1545,5,0.6262958076033512,Custom,label3
pod161,node3,4,987,15,797,3,0.12828447927262132,Default,label2
pod162,node4,1,402,5,1917,4,0.8637725424265827,Default,label1
pod163,node3,8,711,7,1877,2,0.6250739012738917,Default,label1
pod164,node4,1,308,12,615,4,0.585213259669936,Custom,label3
pod165,node2,8,883,7,1296,5,0.9631424217459758,Custom,label1
pod166,node3,8,478,6,1134,1,0.5314220914915625,Default,label1
pod167,node1,6,538,6,1957,1,0.38184042037063537,Default,label1
pod168,node3,9,399,13,962,2,0.3190461771883264,Default,label1
pod169,node5,2,833,12,254,2,0.16188197745574562,Custom,label1
pod170,node4,6,470,14,972,2,0.8884424619256245,Default,label3
pod171,node3,2,426,11,1748,4,0.3744287425588909,Default,label1
pod172,node5,10,687,14,1776,2,0.535950304544405,Default,label2
pod173,node4,1,592,10,1739,2,0.14663251918510023,Default,label3
pod174,node2,4,717,5,662,1,0.6288922562570193,Custom,label2
pod175,node5,4,119,6,1088,4,0.09049681860339343,Default,label1
pod176,node2,6,299,14,385,1,0.144520605837415,Default,label3
pod177,node1,3,757,15,1035,5,0.9196149146370376,Custom,label3
pod178,node4,6,771,7,1674,1,0.8862610179474947,Custom,label1
pod179,node4,6,345,15,459,2,0.8473270822113076,Default,label3
pod180,node1,10,148,10,383,2,0.2941361583413211,Default,label2
pod181,node1,10,674,9,1034,1,0.577588896639717,Default,label2
pod182,node4,2,814,11,597,1,0.8605503155187535,Custom,label2
pod183,node4,10,494,14,1553,4,0.5196546746774887,Default,label3
pod184,node5,1,582,12,416,1,0.6286851972906409,Default,label2
pod185,node4,6,424,10,874,4,0.6356874198346597,Custom,label3
pod186,node3,3,219,9,911,5,0.5367649886506064,Custom,label3
pod187,node4,3,902,13,1590,4,0.8301928845124147,Default,label2
pod188,node2,1,805,6,469,1,0.0021599504117313373,Custom,label2
pod189,node5,7,894,15,305,5,0.20051901675066475,Default,label2
pod190,node1,9,466,13,349,3,0.30144529211696547,Custom,label3
pod191,node4,1,531,14,443,1,0.04634812073532679,Custom,label2
pod192,node2,3,191,14,1857,1,0.18357967046334533,Default,label2
pod193,node1,10,766,5,390,5,0.4732412439832745,Custom,label3
pod194,node2,2,403,13,1854,3,0.8278599055155224,Custom,label1
pod195,node2,8,232,14,1317,1,0.2580848185294772,Default,label2
pod196,node1,5,555,14,845,1,0.5736483669198135,Default,label1
pod197,node4,9,256,12,326,3,0.9957068419359372,Default,label1
pod198,node3,4,370,7,1380,2,0.0980632521236735,Custom,label2
pod199,node1,2,761,11,690,1,0.17277642356236123,Default,label3
pod200,node2,6,862,7,902,4,0.04202094497657238,Custom,label1
pod201,node3,5,286,15,354,4,0.9183100516232224,Default,label2
pod202,node1,9,469,5,800,1,0.178515500662058,Custom,label3
pod203,node5,2,419,15,1387,3,0.7677295845580232,Custom,label3
pod204,node5,6,658,13,1850,2,0.04553989431954031,Custom,label2
pod205,node1,5,382,7,1764,3,0.12825463373923562,Default,label1
pod206,node3,8,927,12,1079,1,0.8670338291678208,Custom,label1
pod207,node3,7,276,14,471,2,0.8717436700275949,Custom,label3
pod208,node5,10,210,9,1040,2,0.5323198489189753,Default,label2
pod209,node3,5,122,9,1977,3,0.6725076018415955,Custom,label1
pod210,node5,5,591,15,1279,5,0.25394912293341,Default,label2
pod211,node2,6,741,13,751,4,0.9772133673569423,Default,label3
pod212,node3,1,962,11,1722,5,0.8697065229252173,Default,label3
pod213,node5,9,942,12,1396,3,0.4082689031707919,Default,label3
pod214,node2,1,499,10,709,5,0.5510244422475004,Custom,label3
pod215,node4,3,867,15,303,1,0.14657807150877866,Default,label3
pod216,node2,10,243,8,774,1,0.7323988424647814,Default,label1
pod217,node3,7,184,8,660,5,0.0009615297050763472,Default,label2
pod218,node5,5,737,7,1071,5,0.2428781388169221,Default,label3
pod219,node3,3,726,13,484,1,0.7902922111100459,Custom,label2
pod220,node3,1,755,5,1747,5,0.9617020465203521,Custom,label3
pod221,node3,2,143,14,946,2,0.319757148287079,Custom,label2
pod222,node3,1,216,15,1685,3,0.5652702394179825,Default,label1
pod223,node3,6,842,5,1305,5,0.8783289602404608,Custom,label3
pod224,node4,7,675,13,1448,3,0.11511319256269814,Default,label2
pod225,node1,4,239,5,1797,3,0.7867642924272857,Custom,label3
pod226,node1,9,919,12,1940,3,0.6781270868430695,Default,label3
pod227,node4,1,926,13,1785,1,0.06661484501685033,Custom,label1
pod228,node4,10,739,14,1153,3,0.08391063067756677,Custom,label2
pod229,node2,6,402,8,1831,2,0.9881574318316121,Default,label2
pod230,node4,8,986,13,1198,1,0.02924186666872597,Custom,label3
pod231,node1,5,340,13,525,4,0.5699510239247589,Custom,label1
pod232,node4,8,798,6,1394,1,0.7461828670516447,Default,label2
pod233,node3,6,155,14,646,2,0.13834247689640367,Default,label3
pod234,node1,9,645,15,1142,4,0.6320990145363936,Default,label3
pod235,node2,9,598,6,913,3,0.25404693151241176,Custom,label2
pod236,node4,7,625,10,1432,2,0.09943617361974821,Custom,label2
pod237,node5,2,335,11,1869,1,0.6252540393618083,Default,label2
pod238,node3,2,879,6,583,4,0.32447122710825127,Default,label3
pod239,node1,7,756,8,836,3,0.8421900616431002,Default,label2
pod240,node3,7,541,15,1583,4,0.008789013633014653,Custom,label2
pod241,node1,1,713,6,955,5,0.8218783811276611,Custom,label1
pod242,node1,4,177,11,572,4,0.6739557349767008,Custom,label2
pod243,node4,2,380,12,1347,2,0.9604563038009982,Custom,label2
pod244,node1,2,764,15,1229,1,0.3404102855295543,Default,label2
pod245,node4,2,489,7,256,5,0.7192869472020227,Custom,label3
pod246,node4,2,746,14,1400,3,0.7558273601646676,Default,label1
pod247,node5,1,531,13,1161,5,0.43948681030015035,Custom,label1
pod248,node1,7,350,14,609,3,0.6487039188669118,Custom,label2
pod249,node4,4,522,5,1028,1,0.43160418180303584,Custom,label2
pod250,node5,6,317,11,1388,4,0.6802585354357981,Default,label2
pod251,node2,7,675,13,1951,4,0.5845431833108704,Custom,label2
pod252,node1,9,987,6,1112,2,0.6681593908231535,Default,label2
pod253,node2,9,382,7,1017,2,0.41793703923722625,Custom,label2
pod254,node2,4,957,10,1135,1,0.1541984100440168,Default,label1
pod255,node5,4,133,5,1255,4,0.32297315463575005,Custom,label2
pod256,node5,8,771,13,1221,4,0.12354670266960877,Custom,label3
pod257,node4,1,843,8,948,1,0.5528707927989918,Custom,label2
pod258,node1,3,484,9,555,5,0.968114083115291,Default,label3
pod259,node4,6,381,15,375,5,0.8123283993639245,Default,label1
pod260,node1,6,572,7,880,2,0.36147894701915384,Default,label3
pod261,node4,1,153,8,1364,5,0.8987713052096961,Default,label1
pod262,node3,9,425,8,969,3,0.079861863129152,Default,label2
pod263,node2,1,184,8,1219,2,0.2209756903256651,Custom,label3
pod264,node1,5,594,12,914,2,0.2956892499033196,Custom,label1
pod265,node5,3,145,9,1726,1,0.38675358214689537,Custom,label3
pod266,node3,10,548,14,827,5,0.6766787574281428,Default,label1
pod267,node2,8,999,14,883,4,0.16601788672611484,Default,label3
pod268,node1,2,451,12,1637,1,0.12821452180712567,Default,label3
pod269,node5,3,858,6,436,4,0.45612971852638573,Custom,label1
pod270,node2,8,900,7,1894,4,0.6144572018912906,Default,label1
pod271,node1,8,118,7,423,3,0.6437694639453322,Default,label3
pod272,node4,7,914,13,338,4,0.9202332223045523,Default,label3
pod273,node5,8,991,15,1011,2,0.01723838691349544,Custom,label1
pod274,node1,5,995,9,1980,4,0.24195716109926957,Custom,label3
pod275,node5,3,273,7,1178,4,0.43746704757707044,Custom,label3
pod276,node3,4,909,9,286,3,0.2886046156340524,Default,label3
pod277,node5,8,974,13,864,1,0.5935513609021683,Default,label3
pod278,node1,8,793,5,1415,5,0.1082044888927044,Default,label1
pod279,node4,10,911,12,1327,5,0.90984907623173,Default,label2
pod280,node5,5,754,14,1138,2,0.3632311396925453,Default,label2
pod281,node3,4,921,9,659,2,0.6112617384162121,Default,label1
pod282,node5,2,384,6,1728,1,0.19989240600434555,Default,label2
pod283,node1,6,992,11,1724,1,0.77866042262285,Custom,label2
pod284,node2,10,531,13,449,1,0.674689369710098,Default,label3
pod285,node2,9,142,9,1212,1,0.34904222382720884,Custom,label3
pod286,node1,7,944,10,1119,4,0.9298640424096404,Default,label1
pod287,node4,8,948,11,1945,2,0.32075120953300185,Default,label2
pod288,node5,6,396,10,229,2,0.5069826986661709,Custom,label3
pod289,node1,7,880,5,610,4,0.33703500406091924,Custom,label2
pod290,node5,7,416,13,1416,2,0.7293416416799442,Custom,label2
pod291,node5,3,406,9,704,5,0.5208350449182563,Custom,label2
pod292,node3,4,600,6,1224,2,0.45587242851335774,Custom,label3
pod293,node5,4,864,14,1018,2,0.619454539063855,Default,label3
pod294,node5,3,346,7,558,1,0.043783282501684284,Default,label1
pod295,node5,4,578,13,303,4,0.5594080477660095,Custom,label1
pod296,node5,3,911,9,1074,5,0.6697819245056846,Custom,label3
pod297,node2,10,589,7,352,5,0.2880158548773988,Custom,label2
pod298,node1,1,136,10,1416,5,0.08065552972170498,Default,label1
pod299,node4,3,671,11,1840,1,0.830386778026965,Default,label2
pod300,node1,3,170,13,707,4,0.2139168025089262,Custom,label3
pod301,node1,1,989,8,930,3,0.8047772992378741,Default,label3
pod302,node2,7,887,5,1134,5,0.727176995238485,Default,label2
pod303,node4,10,321,11,1590,1,0.9439010421101887,Custom,label1
pod304,node1,1,511,15,877,2,0.5657096737237025,Custom,label3
pod305,node5,7,858,12,288,1,0.0057804558502367875,Default,label2
pod306,node2,10,175,8,1405,2,0.5470011848584132,Custom,label1
pod307,node1,1,863,13,362,5,0.8966133006076752,Custom,label2
pod308,node3,4,966,10,1652,1,0.23102748713622756,Default,label2
pod309,node5,3,589,10,1107,3,0.29712202687293354,Custom,label3
pod310,node3,9,112,9,1063,1,0.3448712329743858,Default,label1
pod311,node3,2,315,13,656,1,0.5410631137900176,Custom,label1
pod312,node1,10,968,12,1750,3,0.9602436918658639,Default,label2
pod313,node1,5,887,14,1736,5,0.3269194202161477,Default,label3
pod314,node1,10,954,9,664,4,0.8660345022165872,Custom,label2
pod315,node2,5,936,7,912,1,0.7864698393833104,Default,label2
pod316,node1,10,265,13,971,1,0.022581197437674727,Default,label3
pod317,node5,7,257,11,679,4,0.03540955528865297,Custom,label2
pod318,node1,2,264,12,601,2,0.4601538914155914,Default,label3
pod319,node2,9,641,11,1643,4,0.8939078860930164,Default,label3
pod320,node3,8,297,14,821,2,0.0039000833520008715,Custom,label2
pod321,node1,5,289,10,1626,5,0.6235295308000348,Custom,label1
pod322,node3,9,897,5,245,3,0.8347001140577175,Custom,label3
pod323,node5,6,999,13,507,1,0.004177090039910625,Default,label2
pod324,node2,1,235,15,455,2,0.7809608709283498,Custom,label3
pod325,node2,1,981,5,1388,4,0.11036972402363265,Default,label2
pod326,node5,3,325,6,1451,2,0.18678740746774958,Custom,label1
pod327,node2,6,728,7,826,2,0.14736701443313338,Default,label2
pod328,node5,6,737,14,290,1,0.7861328382413585,Default,label2
pod329,node3,2,828,9,1304,1,0.6103721364905169,Default,label3
pod330,node4,5,360,11,1641,5,0.17308739214101865,Default,label1
pod331,node1,1,634,14,568,4,0.5375992617650228,Default,label2
pod332,node5,1,713,8,784,1,0.9348312639831277,Custom,label3
pod333,node4,8,336,8,1342,4,0.23301847764022332,Custom,label2
pod334,node1,9,529,15,849,3,0.14941022736689247,Default,label3
pod335,node5,6,827,11,369,5,0.23645948273840367,Custom,label3
pod336,node5,5,241,14,255,3,0.09535636241251044,Default,label3
pod337,node3,2,339,6,1781,5,0.9911866126115793,Default,label1
pod338,node3,4,122,13,507,1,0.033575950568588864,Default,label2
pod339,node1,2,337,13,362,4,0.7811643545907475,Custom,label1
pod340,node2,1,966,10,646,5,0.9723603535004128,Default,label3
pod341,node3,10,335,14,1860,2,0.7044510634587632,Custom,label3
pod342,node2,4,657,6,807,5,0.5385438387168793,Custom,label1
pod343,node4,2,848,13,1906,2,0.5476456132895438,Default,label3
pod344,node5,8,905,15,1936,1,0.6139121271446668,Custom,label2
pod345,node3,2,261,14,1936,4,0.6948605763001657,Custom,label2
pod346,node5,10,184,15,1330,4,0.3646212260226017,Default,label3
pod347,node1,5,983,6,1853,1,0.3651147329899257,Default,label1
pod348,node5,4,225,8,1542,4,0.909089534578873,Default,label2
pod349,node2,9,428,15,713,3,0.13965567208348229,Default,label1
pod350,node5,3,709,12,1897,5,0.5247467258234286,Default,label3
pod351,node1,6,535,13,1071,2,0.1735999235687833,Custom,label2
pod352,node2,4,349,9,1772,5,0.5392707757853963,Default,label2
pod353,node3,4,888,6,1663,3,0.6352517989302745,Custom,label1
pod354,node1,8,624,15,1391,2,0.559501309611184,Custom,label3
pod355,node5,4,539,11,265,2,0.7374884775421545,Custom,label1
pod356,node1,2,104,11,1568,1,0.18308938115138784,Custom,label1
pod357,node3,9,166,13,589,4,0.1251540830194483,Default,label2
pod358,node5,9,952,14,660,4,0.3725576292971007,Custom,label3
pod359,node4,9,620,9,240,4,0.35087689776213893,Custom,label2
pod360,node4,1,839,9,1188,5,0.917700266161479,Default,label2
pod361,node2,4,200,13,904,4,0.7481809897272461,Default,label2
pod362,node4,2,929,14,1341,1,0.5243706398865482,Default,label3
pod363,node5,4,348,14,1764,2,0.08621985288174216,Custom,label1
pod364,node2,3,766,12,997,5,0.3895593374603734,Custom,label2
pod365,node2,2,577,14,816,2,0.21173939833204447,Custom,label2
pod366,node5,1,710,6,1141,4,0.9491929382476192,Default,label2
pod367,node5,7,246,10,1684,5,0.7060655949885616,Default,label2
pod368,node4,2,303,7,1286,5,0.012828778697695054,Default,label3
pod369,node4,10,234,7,1021,5,0.31097053581414014,Default,label1
pod370,node3,5,958,10,1287,5,0.27814437807483616,Custom,label2
pod371,node3,10,110,6,1578,2,0.6300688996495777,Custom,label2
pod372,node5,2,798,10,215,4,0.2824580081403244,Default,label2
pod373,node2,6,997,11,1084,4,0.06679415209932982,Default,label3
pod374,node3,8,842,15,581,2,0.05763681817076349,Default,label2
pod375,node4,8,238,7,873,1,0.212121693874053,Custom,label3
pod376,node3,10,720,7,1340,4,0.41147019940101637,Custom,label1
pod377,node1,2,687,15,379,4,0.9497515259699085,Default,label3
pod378,node4,6,414,15,473,5,0.5195249976533843,Custom,label2
pod379,node5,4,553,9,1864,4,0.7741056357880871,Default,label3
pod380,node2,8,281,12,1878,4,0.24593548483052197,Custom,label2
pod381,node4,9,896,5,1698,5,0.06392339355544296,Custom,label3
pod382,node3,5,178,11,458,2,0.2055216174066744,Default,label2
pod383,node1,4,167,14,536,2,0.9960176770189275,Custom,label3
pod384,node5,10,895,14,1980,4,0.8910711292347225,Custom,label1
pod385,node3,6,882,13,1264,5,0.09737535832708932,Custom,label3
pod386,node5,2,618,15,1756,3,0.21800739416271198,Default,label2
pod387,node5,6,730,6,1084,5,0.5534624603846721,Default,label1
pod388,node5,10,955,7,1338,2,0.6873198842706462,Default,label2
pod389,node3,5,932,12,1538,1,0.9200277115674647,Custom,label1
pod390,node4,1,551,12,397,1,0.22013255778036922,Custom,label1
pod391,node1,2,667,5,577,3,0.13029545585926783,Custom,label1
pod392,node1,1,832,15,801,2,0.5689607141701415,Custom,label3
pod393,node1,8,593,15,1290,1,0.33244728245753563,Custom,label2
pod394,node3,1,207,12,1206,3,0.2493675695042339,Default,label1
pod395,node2,5,457,14,1156,2,0.4312101620792831,Custom,label1
pod396,node1,6,327,14,1613,4,0.656070357988832,Default,label3
pod397,node3,2,666,7,662,2,0.7714900077354091,Default,label2
pod398,node4,2,604,10,1889,1,0.48726697267169783,Default,label2
pod399,node4,8,332,13,583,3,0.536937027030119,Custom,label2
pod400,node2,1,985,15,809,3,0.576910317147284,Custom,label3
pod401,node2,8,635,7,920,3,0.9549721757843784,Custom,label2
pod402,node5,10,647,13,1918,1,0.5979808113749132,Custom,label1
pod403,node1,9,687,8,1690,3,0.13577198068566076,Default,label2
pod404,node2,2,852,8,473,4,0.9291607965062351,Default,label2
pod405,node5,6,802,10,421,1,0.5144473694173476,Custom,label1
pod406,node5,5,620,9,757,3,0.7391260252298243,Custom,label3
pod407,node2,5,339,14,630,2,0.11848247726322825,Default,label2
pod408,node5,7,426,14,505,4,0.4195689807398787,Custom,label1
pod409,node4,9,190,5,1832,2,0.6842674518045756,Default,label2
pod410,node3,4,803,13,1668,4,0.5600388755746223,Default,label3
pod411,node3,10,315,5,1501,4,0.3143463286298468,Default,label2
pod412,node2,6,445,11,1398,3,0.1469652194721538,Custom,label3
pod413,node2,2,655,7,1203,3,0.8866858718882367,Custom,label3
pod414,node4,1,750,7,1403,2,0.7598522044546555,Default,label2
pod415,node1,1,863,10,482,4,0.24333247768652466,Default,label2
pod416,node4,3,992,8,522,5,0.05455722648415806,Default,label1
pod417,node1,6,555,9,402,2,0.42595955687661624,Default,label2
pod418,node5,2,330,12,1901,3,0.2950657131665233,Default,label3
pod419,node5,5,675,5,1903,1,0.7992766103865363,Default,label1
